"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16638562823371","","","","","","","","","","","","","","10.8807481061549","11.7648344484937","13.0903665655311","14.3848818443505","","","","","","","","","","","","",
"Australia","AUS","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42382251354796","3.61034266977467","3.66779400378726","3.71669852431449","3.94210037903986","4.07359838214309","4.07374138645106","4.19313771612989","4.35690152923978","4.50317505567358","4.6648424342874","5.01869233002176","5.1562104484349","5.33222469065349","5.59608503733632","5.85452173248199","6.00885991395585","6.23010279436263","6.28020228768103","6.87419209547747","6.78812037913758","7.30437988134957","7.68153977785771","8.39406780763529","8.787819682664","8.43867615122724","","","","",
"Austria","AUT","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0005073550517","6.02751860999681","6.55031077637445","6.66454008594296","6.98929623466482","7.01339328979576","6.85092876230034","7.16089456448821","7.39603304586889","7.68595419390318","8.22856062180678","7.90622793276212","8.26220742550974","8.0804398976919","8.41982685638094","8.57009772831612","9.22402740725599","9.80013855220089","10.2467024547687","10.775380428796","10.3688013790119","11.334487598645","11.9526941098983","12.2279933576842","12.967170741226","13.1250885668896","","","","",
"Azerbaijan","AZE","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80188885424241","1.86707307371006","1.82398872148439","1.60232450698548","1.4479964954298","1.38768622330384","1.69370839837845","1.8920331438413","2.02745903506569","2.37521487004502","2.61034517019205","2.89353811927983","3.18479106141902","3.39897131275239","3.62640464315702","4.55650570771919","6.4051081437581","9.01440414685107","9.23997341396516","11.3650668445382","12.4137490396227","11.5048313944952","10.9942456042166","11.6798768250835","11.8561751802542","","","","","",
"Burundi","BDI","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.87934188583115","3.90947978190322","4.01553354540028","4.16974642662432","4.14275879655006","4.25458487335665","4.1029079538834","4.29618283991167","4.349067641928","4.53271592434973","4.90151259767946","5.11164860072907","5.61748526039388","5.5274532848482","5.72750498810992","5.97195562752753","6.43865419824825","6.88699825538682","6.94512255935735","7.26579167125403","7.19146086581009","8.0400296309306","8.7278638347221","8.73865737834371","9.54281532538076","9.85822650390485","","","","",
"Benin","BEN","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84439286411318","3.01878104544116","3.10233755243693","3.28399120173828","3.34907874220145","3.54815016700503","3.23701037769755","3.35576298125893","3.57648850935879","3.66379855593778","4.59222547551158","4.64801256240065","4.60591901562654","4.60148812102172","4.72664525767253","4.93988271933388","4.4834533388249","4.48799225100384","4.69472733561151","4.6137161577545","4.48602447640009","4.58926767377526","4.73265324578759","4.93867496663105","5.07324501261227","","","","","",
"Burkina Faso","BFA","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96741221768858","7.56228126997268","7.72668204689163","7.84449735766993","7.9694559620251","7.8615424348588","8.31829576278203","8.46376503809094","8.63535013139913","9.04908116517047","9.41424181293944","9.24158080145131","9.52017951839973","9.63873760172542","10.2275584540977","10.820171958705","11.0985980036583","11.6785505062923","12.0253479563349","12.0986224617292","11.9311719684848","12.5000603104995","12.9322508318036","13.66049821214","14.1371268709902","","","","","",
"Bulgaria","BGR","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.31460940719922","2.82379947147241","2.86592017253395","2.69530485884905","2.89073910129643","2.79751845841342","2.46905464327495","2.27495454663802","2.53147100338221","2.58540842114159","2.8005300706438","2.85358994386618","3.20468651398597","3.35009757354159","3.73780326658473","3.93059584504119","4.20349883482488","4.8013059236351","5.40947867662086","6.01538345368149","6.17954590797733","5.98982324120323","6.44884519645947","7.1147080578992","7.07697416315314","","","","","",
